A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,WELLNUM,Time,Timeadj
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037037037,1,1,1,1,0,30
0.872372372,0.901181525,0.927848101,0.917241379,0.869138495,0.949849549,0.837655017,0.867075665,0.881567973,0.900962861,0.927456382,0.85077343,0.941949617,0.896385542,0.928571429,0.936602871,0.955607477,0.90063234,0.801219512,0.863484087,0.937423313,0.901869159,0.918015666,0.918721973,0.889719626,0.877083333,0.928315412,0.910783553,0.930813124,0.97109375,0.922403734,0.913021101,0.037037037,0.942618384,0.93368984,0.92019059,2,33,60
0.788288288,0.854994629,0.834177215,0.878817734,0.777535442,0.916750251,0.777903044,0.807770961,0.834862385,0.833104081,0.863177227,0.848498635,0.907995619,0.838554217,0.862857143,0.891148325,0.916666667,0.876242096,0.770121951,0.828308208,0.885276074,0.872793354,0.895039164,0.829035874,0.8,0.754166667,0.838709677,0.845616757,0.883737518,0.9140625,0.899649942,0.886258363,0,0.933147632,0.887700535,0.871351995,3,66,90
0.714714715,0.775510204,0.793670886,0.747783251,0.743729553,0.878635908,0.693348365,0.754601227,0.767306088,0.800091701,0.850780533,0.827570519,0.890470975,0.821686747,0.823809524,0.858253589,0.851246106,0.83197832,0.76097561,0.784757119,0.87791411,0.799584631,0.880939948,0.792600897,0.768224299,0.714583333,0.822580645,0.847944143,0.895863053,0.93671875,0.889731622,0.863098302,0.024691358,0.928690808,0.879144385,0.863609291,4,99,120
0.731231231,0.800214823,0.773417722,0.81182266,0.66521265,0.924774323,0.712514092,0.702453988,0.788156797,0.819348923,0.812213039,0.805277525,0.906900329,0.808433735,0.828571429,0.883373206,0.894080997,0.827461608,0.757317073,0.759631491,0.855828221,0.817757009,0.868929504,0.80661435,0.74953271,0.745833333,0.743727599,0.806051202,0.828815977,0.85078125,0.874562427,0.838908904,0.141975309,0.910306407,0.862566845,0.832638475,5,132,150
0.708708709,0.74650913,0.764556962,0.751724138,0.672846238,0.858575727,0.66065389,0.729038855,0.769808173,0.796423659,0.809458219,0.805277525,0.895947426,0.790361446,0.804761905,0.894736842,0.80529595,0.789521229,0.740853659,0.692629816,0.831288344,0.7596054,0.820887728,0.783632287,0.777570093,0.725,0.741935484,0.821567106,0.834522111,0.88359375,0.871645274,0.826042203,0.296296296,0.897493036,0.816042781,0.826086957,6,165,180
0.714714715,0.736842105,0.717721519,0.724137931,0.630316249,0.768304915,0.636978579,0.6799591,0.729774812,0.760201742,0.799357208,0.786169245,0.865279299,0.793975904,0.793333333,0.876794258,0.812305296,0.775067751,0.756097561,0.735343384,0.829447853,0.782450675,0.816710183,0.77970852,0.71588785,0.68125,0.768817204,0.821567106,0.82810271,0.86953125,0.874562427,0.848172928,0.271604938,0.886350975,0.836898396,0.828469327,7,198,210
0.66966967,0.756176155,0.701265823,0.732019704,0.595419847,0.77331996,0.585118377,0.619631902,0.676396997,0.766620816,0.778236915,0.762056415,0.846659365,0.720481928,0.783809524,0.844497608,0.774922118,0.785004517,0.756097561,0.711892797,0.799386503,0.740913811,0.773368146,0.729820628,0.674766355,0.645833333,0.693548387,0.783553142,0.818830243,0.8421875,0.835472579,0.813175502,0.277777778,0.853481894,0.788235294,0.833234068,8,231,240
0.226726727,0.129967777,0.155696203,0.185221675,0.139585605,0.167502508,0.186020293,0.187116564,0.086738949,0.189362678,0.195592287,0.225659691,0.394304491,0.360240964,0.358095238,0.281100478,0.396417445,0.463414634,0.40304878,0.59798995,0.365644172,0.341121495,0.334725849,0.328475336,0.087850467,0,0.032258065,0,0.094864479,0.0125,0.03033839,0.006690685,1,0.070194986,0.015508021,0.013103038,9,1138,270
0.168168168,0.104189044,0.093670886,0.190147783,0.107960742,0.033099298,0.14205186,0.142126789,0.047539616,0.155891793,0.169880624,0.162420382,0.270536692,0.31686747,0.27047619,0.221291866,0.310747664,0.359530262,0.298780488,0.460636516,0.27607362,0.231568017,0.250130548,0.25,0.044859813,0.06875,0.008960573,0.02094647,0,0.015625,0.007001167,0.004632012,0.209876543,0.045125348,0.042245989,0.030375223,10,1171,300
0.132132132,0.090225564,0.091139241,0.103448276,0.106870229,0.029087262,0.112739572,0.098159509,0.014178482,0.106373223,0.120752984,0.129208371,0.228915663,0.209638554,0.216190476,0.177033493,0.264018692,0.270099368,0.243292683,0.346733668,0.23006135,0.177570093,0.194255875,0.195627803,0.044859813,0.016666667,0.037634409,0.024049651,0.000713267,0.0109375,0,0.004117344,0.314814815,0.032311978,0.014973262,0.002977963,11,1204,330
