"WELLNUM","CONTENT","CH","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","PLATZ","KONZ_CHAR","KONZ_MANT","TIME","TEMP","VOLPUMP1","VOLPUMP2","VOLPUMP3","VOLPUMP4"
NA,NA,"t",0,30,60,90,120,150,180,210,731,761,791,821,851,881,911,941,971,1001,1031,1061,1091,1121,1151,1181,1211,1241,1271,1301,1331,1361,1391,1421,1451,1481,1511,1541,1571,1601,1631,1661,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01","X1","1",273,266,266,270,263,268,266,265,270,263,263,260,262,257,266,257,257,260,258,256,261,260,260,256,257,256,255,255,257,260,255,254,255,258,257,255,255,252,251,253,NA,0,0,NA,NA,0,0,0,0
"E02","X2","1",299,294,295,291,284,289,287,282,288,293,288,285,285,284,279,288,284,279,283,274,276,284,281,276,274,277,279,280,280,277,286,281,276,274,282,275,272,282,275,271,NA,0,0,NA,NA,0,0,0,0
"E03","X3","1",259,253,255,257,255,249,250,250,252,258,256,254,251,250,246,246,246,244,246,240,240,241,245,240,239,239,240,247,240,242,243,249,240,239,246,241,239,245,239,235,NA,0,0,NA,NA,0,0,0,0
"E04","X4","1",2155,2132,2121,2123,2113,2112,2116,2116,2048,2053,2042,2043,2031,2030,2018,2020,2026,2012,2023,1999,1982,2012,2004,1996,1995,1997,1987,2016,2004,1989,2001,2006,2002,1989,2002,1953,1981,1997,1979,1964,NA,0,0,NA,NA,0,0,0,0
"E05","X5","1",2090,2082,2080,2088,2097,2089,2097,2093,1917,1932,1887,1900,1918,1901,1882,1887,1895,1880,1883,1857,1857,1902,1851,1851,1854,1862,1846,1878,1864,1862,1875,1869,1840,1848,1865,1835,1845,1854,1849,1830,NA,0,0,NA,NA,0,0,0,0
"E06","X6","1",2024,1992,1994,1971,1971,1967,1963,1968,1967,1980,1969,1962,1952,1955,1939,1972,1956,1937,1959,1933,1923,1961,1925,1912,1930,1930,1921,1937,1931,1923,1930,1950,1918,1921,1939,1901,1915,1919,1913,1893,NA,0,0,NA,NA,0,0,0,0
"E07","X7","1",10533,10429,10389,10302,10312,10239,10216,10194,10870,10886,10682,10733,10737,10745,10662,10747,10721,10626,10776,10589,10554,10748,10620,10618,10619,10679,10598,10744,10697,10593,10730,10728,10634,10630,10694,10544,10584,10620,10581,10554,NA,0,0,NA,NA,0,0,0,0
"E08","X8","1",10170,10159,10098,10130,10081,9953,9982,9919,10329,10392,10250,10159,10249,10183,10169,10219,10187,10157,10184,10056,10040,10217,10077,10070,10083,10123,10099,10243,10126,10033,10219,10196,10122,10098,10147,10009,10092,10103,10096,9999,NA,0,0,NA,NA,0,0,0,0
"E09","X9","1",10243,10166,10116,10080,10106,10007,9992,9998,10751,10584,10439,10410,10529,10396,10320,10482,10406,10341,10460,10295,10241,10399,10411,10328,10354,10344,10248,10451,10398,10293,10457,10405,10329,10337,10394,10257,10250,10384,10345,10249,NA,0,0,NA,NA,0,0,0,0
"F01","X10","1",352,344,338,345,343,346,344,344,321,313,316,314,314,305,312,308,306,306,316,307,304,306,309,306,304,306,308,305,307,307,306,305,303,304,304,302,300,299,303,302,NA,0,0,NA,NA,0,0,0,0
"F02","X11","1",279,273,265,274,275,269,270,264,255,247,247,247,240,235,242,236,233,240,238,237,234,239,237,233,230,234,235,229,236,239,232,232,229,231,232,234,232,232,234,231,NA,0,0,NA,NA,0,0,0,0
"F03","X12","1",187,184,175,185,183,184,181,178,183,173,176,173,165,158,167,160,161,162,159,163,156,161,159,159,154,159,154,152,159,160,157,158,153,155,159,156,157,153,157,156,NA,0,0,NA,NA,0,0,0,0
"F04","X13","1",1821,1806,1792,1812,1802,1812,1812,1804,1735,1696,1691,1697,1687,1668,1687,1665,1682,1692,1676,1684,1676,1687,1681,1678,1667,1686,1679,1680,1672,1681,1593,1678,1678,1663,1676,1676,1654,1654,1667,1666,NA,0,0,NA,NA,0,0,0,0
"F05","X14","1",1813,1783,1777,1798,1790,1779,1788,1784,1670,1657,1663,1661,1644,1628,1659,1640,1649,1666,1648,1647,1648,1644,1645,1636,1630,1644,1638,1630,1598,1630,1641,1621,1634,1634,1634,1615,1622,1625,1621,1626,NA,0,0,NA,NA,0,0,0,0
"F06","X15","1",1805,1789,1780,1779,1789,1799,1795,1785,1722,1707,1712,1705,1690,1678,1698,1682,1690,1692,1682,1671,1674,1687,1677,1674,1662,1685,1674,1663,1664,1680,1660,1675,1658,1658,1659,1668,1653,1663,1654,1653,NA,0,0,NA,NA,0,0,0,0
"F07","X16","1",11077,10980,10939,10974,10946,11003,10960,10873,10589,10348,10193,10201,10153,9964,10111,9973,9983,9891,9936,9890,9813,9830,9837,9834,9735,9840,9749,9742,9765,9795,9786,9824,9767,9779,9833,9760,9780,9762,9747,9757,NA,0,0,NA,NA,0,0,0,0
"F08","X17","1",11079,10916,10928,11011,10891,10989,10992,10942,10446,10233,10225,10211,10106,10002,10104,10001,10038,9991,9970,9941,9904,9924,9874,9854,9877,9867,9800,9903,9898,9910,9822,9849,9865,9868,9872,9841,9834,9851,9811,9846,NA,0,0,NA,NA,0,0,0,0
"F09","X18","1",10672,10571,10544,10545,10499,10597,10536,10551,9964,9806,9765,9656,9654,9601,9584,9562,9498,9515,9538,9436,9451,9476,9454,9452,9400,9458,9401,9433,9386,9418,9460,9374,9438,9412,9406,9412,9455,9419,9353,9384,NA,0,0,NA,NA,0,0,0,0
"G01","X19","1",187,182,180,179,178,179,180,175,175,174,176,173,179,171,174,173,171,177,174,173,170,175,171,169,171,174,174,173,173,174,171,168,173,168,172,167,169,166,165,169,NA,0,0,NA,NA,0,0,0,0
"G02","X20","1",163,171,157,156,165,159,164,155,155,154,158,154,159,150,156,147,150,153,158,153,155,153,158,155,157,155,148,153,151,151,152,150,149,148,145,152,151,147,147,143,NA,0,0,NA,NA,0,0,0,0
"G03","X21","1",168,168,159,158,161,163,165,157,156,157,161,154,161,152,155,151,153,157,159,157,157,151,160,156,161,156,151,155,154,150,155,153,151,147,146,152,153,150,146,145,NA,0,0,NA,NA,0,0,0,0
"G04","X22","1",1608,1613,1606,1603,1606,1622,1607,1609,1606,1602,1599,1600,1603,1593,1603,1590,1575,1588,1596,1594,1580,1571,1592,1576,1578,1587,1570,1577,1573,1564,1570,1568,1571,1557,1557,1551,1559,1551,1549,1539,NA,0,0,NA,NA,0,0,0,0
"G05","X23","1",1760,1760,1765,1752,1753,1758,1757,1757,1620,1611,1599,1607,1625,1594,1598,1601,1586,1597,1603,1597,1591,1581,1602,1574,1589,1585,1583,1574,1578,1581,1594,1572,1575,1563,1575,1572,1564,1567,1566,1555,NA,0,0,NA,NA,0,0,0,0
"G06","X24","1",1601,1587,1589,1591,1583,1598,1589,1590,1301,1291,1274,1274,1263,1264,1270,1259,1258,1259,1267,1266,1263,1252,1273,1250,1252,1261,1246,1259,1257,1258,1261,1244,1257,1243,1246,1244,1234,1239,1235,1233,NA,0,0,NA,NA,0,0,0,0
"G07","X25","1",9280,9232,9209,9180,9085,9102,9135,9113,9553,9597,9554,9600,9573,9510,9641,9510,9556,9550,9520,9590,9471,9509,9589,9423,9540,9556,9566,9492,9618,9573,9589,9490,9565,9525,9505,9477,9460,9453,9434,9504,NA,0,0,NA,NA,0,0,0,0
"G08","X26","1",9236,9111,9110,9104,9074,9062,9028,9034,9564,9466,9474,9457,9453,9460,9548,9378,9519,9493,9488,9460,9482,9397,9485,9479,9457,9489,9486,9433,9446,9499,9467,9385,9434,9433,9430,9401,9410,9433,9314,9431,NA,0,0,NA,NA,0,0,0,0
"G09","X27","1",8882,8761,8772,8746,8742,8754,8696,8693,9125,9107,9085,9115,9036,9001,9033,9018,9093,9017,9066,9062,8975,9048,9044,8969,9019,9099,9011,9069,9052,9063,9071,8941,9063,8932,9015,8951,8942,8953,8874,8967,NA,0,0,NA,NA,0,0,0,0
