WELLNUM,Timeadj,Time,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,F06,F07,F08,F09,G01,G02,G03,G04,G05,G06,G07,G08,G09,E2uA,F2uA,G2uA,E2norm,F2norm,G2norm,E20uA,F20uA,G20uA,E20norm,F20norm,G20norm,E0uA,F0uA,G0uA,E0norm,F0norm,G0norm,,,,
1,0,30,273,299,259,2155,2090,2024,10533,10170,10243,352,279,187,1821,1813,1805,11077,11079,10672,187,163,168,1608,1760,1601,9280,9236,8882,2089.666667,1813,1656.333333,1,1,0.986175115,10315.33333,10942.66667,9132.666667,0.454051115,1,0.398002853,277,272.6666667,172.6666667,1,1,0.953125,,,,
2,30,60,266,294,253,2132,2082,1992,10429,10159,10166,344,273,184,1806,1783,1789,10980,10916,10571,182,171,168,1613,1760,1587,9232,9111,8761,2068.666667,1792.666667,1653.333333,0.891752577,0.888073394,0.97235023,10251.33333,10822.33333,9034.666667,0.349646547,0.907837631,0.188302425,271,267,173.6666667,0.75,0.873134328,1,,,,
3,60,90,266,295,255,2121,2080,1994,10389,10098,10116,338,265,175,1792,1777,1780,10939,10928,10544,180,157,159,1606,1765,1589,9209,9110,8772,2065,1783,1653.333333,0.872852234,0.834862385,0.97235023,10201,10803.66667,9030.333333,0.267536705,0.893540975,0.179029957,272,259.3333333,165.3333333,0.791666667,0.701492537,0.609375,,standard error 2uM,,
4,90,120,270,291,257,2123,2088,1971,10302,10130,10080,345,274,185,1812,1798,1779,10974,11011,10545,179,156,158,1603,1752,1591,9180,9104,8746,2060.666667,1796.333333,1648.666667,0.850515464,0.908256881,0.950844854,10170.66667,10843.33333,9010,0.21805329,0.923921368,0.135520685,272.6666667,268,164.3333333,0.819444444,0.895522388,0.5625,,Exp,Neg,Pos
5,120,150,263,284,255,2113,2097,1971,10312,10081,10106,343,275,183,1802,1790,1789,10946,10891,10499,178,165,161,1606,1753,1583,9085,9074,8742,2060.333333,1793.666667,1647.333333,0.848797251,0.893577982,0.944700461,10166.33333,10778.66667,8967,0.210984231,0.874393669,0.043509272,267.3333333,267,168,0.597222222,0.873134328,0.734375,,0.047957719,0.050837673,0.051479985
6,150,180,268,289,249,2112,2089,1967,10239,9953,10007,346,269,184,1812,1779,1799,11003,10989,10597,179,159,163,1622,1758,1598,9102,9062,8754,2056,1796.666667,1659.333333,0.826460481,0.910091743,1,10066.33333,10863,8972.666667,0.047852094,0.938983916,0.055634807,268.6666667,266.3333333,167,0.652777778,0.858208955,0.6875,,,,
7,180,210,266,287,250,2116,2097,1963,10216,9982,9992,344,270,181,1812,1788,1795,10960,10992,10536,180,164,165,1607,1757,1589,9135,9028,8696,2058.666667,1798.333333,1651,0.840206186,0.919266055,0.961597542,10063.33333,10829.33333,8953,0.042958129,0.913198877,0.013552068,267.6666667,265,169.6666667,0.611111111,0.828358209,0.8125,,,,
8,210,240,265,282,250,2116,2093,1968,10194,9919,9998,344,264,178,1804,1784,1785,10873,10942,10551,175,155,157,1609,1757,1590,9113,9034,8693,2059,1791,1652,0.841924399,0.878899083,0.966205837,10037,10788.66667,8946.666667,0,0.882052591,0,265.6666667,262,162.3333333,0.527777778,0.76119403,0.46875,,,,
9,731,761,270,288,252,2048,1917,1967,10870,10329,10751,321,255,183,1735,1670,1722,10589,10446,9964,175,155,156,1606,1620,1301,9553,9564,9125,1977.333333,1709,1509,0.420962199,0.427522936,0.307219662,10650,10333,9414,1,0.533061016,1,270,253,162,0.708333333,0.559701493,0.453125,,,,
10,761,791,263,293,258,2053,1932,1980,10886,10392,10584,313,247,173,1696,1657,1707,10348,10233,9806,174,154,157,1602,1611,1291,9597,9466,9107,1988.333333,1686.666667,1501.333333,0.47766323,0.304587156,0.271889401,10620.66667,10129,9390,0.952147906,0.376818994,0.948644793,271.3333333,244.3333333,161.6666667,0.763888889,0.365671642,0.4375,,,,
11,791,821,263,288,256,2042,1887,1969,10682,10250,10439,316,247,176,1691,1663,1712,10193,10225,9765,176,158,161,1599,1599,1274,9554,9474,9085,1966,1688.666667,1490.666667,0.362542955,0.31559633,0.222734255,10457,10061,9371,0.685154976,0.32473832,0.907988588,269,246.3333333,165,0.666666667,0.410447761,0.59375,,,,
12,821,851,260,285,254,2043,1900,1962,10733,10159,10410,314,247,173,1697,1661,1705,10201,10211,9656,173,154,154,1600,1607,1274,9600,9457,9115,1968.333333,1687.666667,1493.666667,0.374570447,0.310091743,0.23655914,10434,10022.66667,9390.666667,0.647634584,0.295379117,0.950071327,266.3333333,244.6666667,160.3333333,0.555555556,0.373134328,0.375,,,,
13,851,881,262,285,251,2031,1918,1952,10737,10249,10529,314,240,165,1687,1644,1690,10153,10106,9654,179,159,161,1603,1625,1263,9573,9453,9036,1967,1673.666667,1497,0.367697595,0.233027523,0.251920123,10505,9971,9354,0.763458401,0.255808016,0.871611983,266,239.6666667,166.3333333,0.541666667,0.26119403,0.65625,,,,
14,881,911,257,284,250,2030,1901,1955,10745,10183,10396,305,235,158,1668,1628,1678,9964,10002,9601,171,150,152,1593,1594,1264,9510,9460,9001,1962,1658,1483.666667,0.341924399,0.146788991,0.19047619,10441.33333,9855.666667,9323.666667,0.659597607,0.167475109,0.806704708,263.6666667,232.6666667,157.6666667,0.444444444,0.104477612,0.25,,,,
