"","WELLNUM","Time","E01","E02","E03","E04","E05","E06","E07","E08","E09","F01","F02","F03","F04","F05","F06","F07","F08","F09","G01","G02","G03","G04","G05","G06","G07","G08","G09"
"1",1,0,273,299,259,2155,2090,2024,10533,10170,10243,352,279,187,1821,1813,1805,11077,11079,10672,187,163,168,1608,1760,1601,9280,9236,8882
"2",2,30,266,294,253,2132,2082,1992,10429,10159,10166,344,273,184,1806,1783,1789,10980,10916,10571,182,171,168,1613,1760,1587,9232,9111,8761
"3",3,60,266,295,255,2121,2080,1994,10389,10098,10116,338,265,175,1792,1777,1780,10939,10928,10544,180,157,159,1606,1765,1589,9209,9110,8772
"4",4,90,270,291,257,2123,2088,1971,10302,10130,10080,345,274,185,1812,1798,1779,10974,11011,10545,179,156,158,1603,1752,1591,9180,9104,8746
"5",5,120,263,284,255,2113,2097,1971,10312,10081,10106,343,275,183,1802,1790,1789,10946,10891,10499,178,165,161,1606,1753,1583,9085,9074,8742
"6",6,150,268,289,249,2112,2089,1967,10239,9953,10007,346,269,184,1812,1779,1799,11003,10989,10597,179,159,163,1622,1758,1598,9102,9062,8754
"7",7,180,266,287,250,2116,2097,1963,10216,9982,9992,344,270,181,1812,1788,1795,10960,10992,10536,180,164,165,1607,1757,1589,9135,9028,8696
"8",8,210,265,282,250,2116,2093,1968,10194,9919,9998,344,264,178,1804,1784,1785,10873,10942,10551,175,155,157,1609,1757,1590,9113,9034,8693
"9",9,731,270,288,252,2048,1917,1967,10870,10329,10751,321,255,183,1735,1670,1722,10589,10446,9964,175,155,156,1606,1620,1301,9553,9564,9125
"10",10,761,263,293,258,2053,1932,1980,10886,10392,10584,313,247,173,1696,1657,1707,10348,10233,9806,174,154,157,1602,1611,1291,9597,9466,9107
"11",11,791,263,288,256,2042,1887,1969,10682,10250,10439,316,247,176,1691,1663,1712,10193,10225,9765,176,158,161,1599,1599,1274,9554,9474,9085
