"","E04","F06","G06","rule","sd"
"1",0,0.098684211,0.029891304,NA,NA
"2",0.054455446,0,0,NA,NA
"3",0.128712871,0.006578947,0.005434783,NA,NA
"4",0.138613861,0,0.002717391,NA,NA
"5",0.143564356,0.138157895,0.081521739,NA,NA
"6",0.168316832,0.138157895,0.035326087,NA,NA
"7",0.178217822,0.032894737,0.027173913,NA,NA
"8",0.178217822,0.177631579,0.067934783,NA,NA
"9",0.207920792,0.059210526,0.051630435,NA,NA
"10",0.212871287,0.138157895,0.046195652,NA,NA
"11",0.217821782,0.065789474,0.016304348,NA,NA
"12",0.217821782,0.210526316,0.076086957,NA,NA
"13",0.227722772,0.118421053,0.089673913,NA,NA
"14",0.237623762,0.046052632,0.076086957,NA,NA
"15",0.242574257,0.032894737,0.065217391,NA,NA
"16",0.242574257,0.039473684,0.035326087,NA,NA
"17",0.252475248,0.072368421,0.065217391,NA,NA
"18",0.252475248,0.157894737,0.108695652,NA,NA
"19",0.262376238,0.144736842,0.029891304,NA,NA
"20",0.292079208,0.223684211,0.051630435,NA,NA
"21",0.292079208,0.256578947,0.070652174,NA,NA
"22",0.311881188,0.065789474,0.070652174,NA,NA
"23",0.321782178,0.296052632,0.100543478,NA,NA
"24",0.331683168,0.190789474,0.070652174,NA,NA
"25",0.346534653,0.190789474,0.092391304,NA,NA
"26",0.361386139,0.243421053,0.067934783,NA,NA
"27",0.381188119,0.164473684,0.08423913,NA,NA
"28",0.386138614,0.243421053,0.081521739,NA,NA
"29",0.440594059,0.388157895,0.111413043,NA,NA
"30",0.445544554,0.342105263,0.111413043,NA,NA
"31",0.47029703,0.453947368,0.184782609,NA,NA
"32",0.495049505,0.355263158,0.157608696,NA,NA
"33",0.787128713,0.960526316,0.991847826,NA,NA
"34",0.792079208,0.894736842,0.951086957,NA,NA
"35",0.806930693,0.868421053,0.970108696,NA,NA
"36",0.806930693,0.934210526,0.967391304,NA,NA
"37",0.831683168,0.835526316,0.967391304,NA,NA
"38",0.841584158,0.828947368,0.972826087,NA,NA
"39",0.886138614,0.894736842,0.961956522,NA,NA
"40",1,1,1,NA,NA
